Site	Left	Right	Strand	Transcription-Units
CodY DNA-binding-site 17.5 bases downstream of ylmAp	1606506	1606539	+	ylmA
CodY DNA-binding-site 184.5 bases downstream of nupNp	3239823	3239864	+	nupNOPQ // nupN
CodY DNA-binding-site 318.5 bases upstream of PM8J2-1076	2078759	2078795	+	bsrF
CodY DNA-binding-site 45 bases upstream of bcaPp	1023163	1023193	+	bcaP
CodY DNA-binding-site 45.0 bases upstream of PM8J2-756	1117028	1117028	+	comK
CodY DNA-binding-site 49 bases upstream of putBp	344444	344480	+	putBCP
CodY DNA-binding-site 53 bases upstream of frlBp	3352185	3352208	-	frlBONMD
CodY DNA-binding-site 6.0 bases downstream of PM8J2-550	376683	376683	+	srfAA-srfAB-comS-srfAC-srfAD
CodY DNA-binding-site 62.5 bases upstream of nupNp	3239574	3239621	+	nupNOPQ // nupN
CodY DNA-binding-site 79 bases downstream of bcaPp	1023287	1023315	+	bcaP
CodY DNA-binding-site 9.5 bases downstream of ilvEp	258885	258911	+	ybgE
CodY DNA-binding-site 99.5 bases downstream of P_D-6	3635895	3635895	-	hag
CodY DNA-binding-site 99.5 bases upstream of PM8J2-682	2897554	2897554	-	ilvBHC-leuABCD
CodY DNA-binding-site regulating gabP-P1			-	gabP
CodY DNA-binding-site regulating mprp			+	mpr
CodY DNA-binding-site regulating PM8J2-1048			-	ilvD
CodY DNA-binding-site regulating PM8J2-1049			-	ilvA-ypmP
CodY DNA-binding-site regulating PM8J2-772 (BS8J2-598)			+	citB
CodY DNA-binding-site regulating PM8J2-772 (BS8J2-599)			+	citB
CodY DNA-binding-site regulating PM8J2-804			-	acsA
CodY DNA-binding-site regulating PM8J2-873			+	vpr
CodY DNA-binding-site regulating PM8J2-98			-	ptb-bcd-buk-lpdV-bkdAABB
CodY DNA-binding-site regulating rapCp			+	rapC-phrC
CodY DNA-binding-site regulating scoCp			-	scoC
CodY DNA-binding-site regulating ureA-P3			-	ureABC
CodY DNA-binding-site regulating ykfAp			+	ykfABCD
ComA DNA-binding-site 33.0 bases upstream of rapCp	428766	428766	+	rapC-phrC
ComA DNA-binding-site 53.0 bases upstream of PM8J2-742	3257360	3257360	-	degQ
ComA DNA-binding-site 55.5 bases upstream of PM8J2-550	376623	376623	+	srfAA-srfAB-comS-srfAC-srfAD
ComA DNA-binding-site 55.5 bases upstream of PM8J2-601	1315783	1315783	+	rapA-phrA
ComA DNA-binding-site 99.5 bases upstream of PM8J2-550	376579	376579	+	srfAA-srfAB-comS-srfAC-srfAD
ComA DNA-binding-site regulating PM8J2-914			+	rapF-phrF
ComA DNA-binding-site regulating PM8J2-915			+	rapE-phrE
ComA DNA-binding-site regulating PM8J2-916	827876	827876	+	pel
ComK DNA-binding-site 100.5 bases upstream of PM8J2-756	1116973	1116973	+	comK
ComK DNA-binding-site 107.5 bases upstream of PM8J2-594	1764507	1764507	+	recA
ComK DNA-binding-site 140.0 bases upstream of PM8J2-594	1764474	1764474	+	recA
ComK DNA-binding-site 45.0 bases upstream of PM8J2-759	2642078	2642078	-	comEABC
ComK DNA-binding-site 50.0 bases upstream of PM8J2-594	1764564	1764564	+	recA
ComK DNA-binding-site 50.5 bases upstream of PM8J2-757	2560147	2560147	-	comGABCDEFG-yqzE
ComK DNA-binding-site 50.5 bases upstream of PM8J2-760	2865251	2865251	-	comC
ComK DNA-binding-site 54.0 bases upstream of PM8J2-801	1136238	1136238	+	addBA
ComK DNA-binding-site 58.5 bases upstream of rapHp	750870	750870	+	rapH-phrH
ComK DNA-binding-site 69.0 bases upstream of PM8J2-756	1117004	1117004	+	comK
ComK DNA-binding-site 70.0 bases upstream of PM8J2-759	2642103	2642103	-	comEABC
ComK DNA-binding-site 78.5 bases upstream of PM8J2-801	1136214	1136214	+	addBA
ComK DNA-binding-site 79.5 bases upstream of PM8J2-760	2865280	2865280	-	comC
ComK DNA-binding-site 85.0 bases upstream of PM8J2-594	1764529	1764529	+	recA
ComK DNA-binding-site 86.5 bases upstream of PM8J2-757	2560183	2560183	-	comGABCDEFG-yqzE
ComK DNA-binding-site regulating comF-P1 (BS8J2-227)	3643633	3643633	-	comFABC-yvyF-flgM-yvyG-flgKL
ComK DNA-binding-site regulating comF-P1 (BS8J2-228)	3643664	3643664	-	comFABC-yvyF-flgM-yvyG-flgKL
ComK DNA-binding-site regulating engDp			-	engD-rpsF-ssbA-rpsR
ComK DNA-binding-site regulating mafp			-	maf
ComK DNA-binding-site regulating PM8J2-366			-	bdbDC
ComK DNA-binding-site regulating PM8J2-397			-	degR
ComK DNA-binding-site regulating PM8J2-89 (BS8J2-206)	2862755	2862755	-	radC
ComK DNA-binding-site regulating PM8J2-89 (BS8J2-207)	2862786	2862786	-	radC
ComK DNA-binding-site regulating PM8J2-899 (BS8J2-202)	3740684	3740684	-	ywpH-glcR
ComK DNA-binding-site regulating PM8J2-899 (BS8J2-203)	3740715	3740715	-	ywpH-glcR
ComK DNA-binding-site regulating PM8J2-900 (BS8J2-204)	3415390	3415390	-	yvrPON
ComK DNA-binding-site regulating PM8J2-900 (BS8J2-205)	3415434	3415434	-	yvrPON
ComK DNA-binding-site regulating PM8J2-903			+	yneAB-ynzC
ComK DNA-binding-site regulating PM8J2-909 (BS8J2-209)	221769	221769	+	ybdK
ComK DNA-binding-site regulating PM8J2-909 (BS8J2-210)	221725	221725	+	ybdK
ComK DNA-binding-site regulating PM8J2-910 (BS8J2-211)	4212943	4212943	-	thdF-gidAB-yyaA
ComK DNA-binding-site regulating PM8J2-910 (BS8J2-212)	4212974	4212974	-	thdF-gidAB-yyaA
ComK DNA-binding-site regulating PM8J2-911 (BS8J2-213)	1682513	1682513	+	smf
ComK DNA-binding-site regulating PM8J2-911 (BS8J2-214)	1682492	1682492	+	smf
ComK DNA-binding-site regulating PM8J2-912			+	sbcD-yirY-yisB
ComK DNA-binding-site regulating PM8J2-913 (BS8J2-221)	372711	372711	-	nucA-nin
ComK DNA-binding-site regulating PM8J2-913 (BS8J2-222)	372732	372732	-	nucA-nin
ComK DNA-binding-site regulating PM8J2-921 (BS8J2-580)	1493670	1493670	+	rok
ComK DNA-binding-site regulating PM8J2-921 (BS8J2-581)	1493649	1493649	+	rok
ComZ DNA-binding-site regulating PM8J2-757			-	comGABCDEFG-yqzE
CsoR DNA-binding-site 22.5 bases upstream of copZp	3443855	3443880	-	copZA
CssR DNA-binding-site 57.5 bases upstream of cssR-S2	3385649	3385649	+	cssRS
CssR DNA-binding-site regulating PM8J2-685			-	htrA
CssR DNA-binding-site regulating PM8J2-896			-	yvtA
CtsR DNA-binding-site 112.0 bases upstream of clpE-s2	1437920	1437920	-	clpE // clpE
CtsR DNA-binding-site 112.5 bases upstream of clpE-s2	1437921	1437921	-	clpE // clpE
CtsR DNA-binding-site 140.0 bases upstream of clpE-s2	1437948	1437948	-	clpE // clpE
CtsR DNA-binding-site 15.0 bases downstream of PM8J2-749	101423	101423	+	ctsR-mcsAB-clpC-radA-yacK
CtsR DNA-binding-site 28.0 bases upstream of clpP-S1	3546173	3546173	+	clpP
CtsR DNA-binding-site 66.0 bases upstream of clpE-s2	1437874	1437874	-	clpE // clpE
CtsR DNA-binding-site 68.5 bases upstream of clpE-s2	1437877	1437877	-	clpE // clpE
CtsR DNA-binding-site regulating lonS2			-	lonA-ysxC // lonA-ysxC
CtsR DNA-binding-site regulating PM8J2-763			-	clpX
CueR DNA-binding-site regulating copZp			-	copZA
CymR DNA-binding-site 15.5 bases downstream of PM8J2-746	81746	81746	+	cysK
CymR DNA-binding-site 16.5 bases downstream of PM8J2-9	3008827	3008827	-	ytmIJKLMNO-ytnIJ-ribR-ytnLM
CymR DNA-binding-site 23.0 bases downstream of scmKp	4062201	4062201	-	scmKL-yxeMNO-sndB-yxeQ
CymR DNA-binding-site 25.5 bases downstream of PM8J2-481	2788522	2788522	-	yrrT-mtn-yrhABC
CymR DNA-binding-site 30.0 bases upstream of PM8J2-480	986929	986929	+	yhcL
CymR DNA-binding-site 30.5 bases upstream of PM8J2-479	961241	961241	+	ssuBACD-ygaN
CymR DNA-binding-site 32.0 bases upstream of PM8J2-7	3008825	3008825	+	ytlI // ytlI
CymR DNA-binding-site regulating PM8J2-940	505120	505120	+	ydbM
CysL DNA-binding-site 18.5 bases downstream of PM8J2-489	3865237	3865237	-	ywfK
CysL DNA-binding-site 62.5 bases upstream of PM8J2-492	3434263	3434263	-	yvgRQ
DegU DNA-binding-site 13.0 bases downstream of wapAp	4030571	4030571	-	wapA-yxxG
DegU DNA-binding-site 289.5 bases upstream of PM8J2-742	3257597	3257597	-	degQ
DegU DNA-binding-site 30.5 bases upstream of wapAp	4030614	4030614	-	wapA-yxxG
DegU DNA-binding-site 53.5 bases upstream of PM8J2-792	1105680	1105680	-	aprE
DegU DNA-binding-site 84.0 bases upstream of PM8J2-574	3941863	3941863	+	sacXY
DegU DNA-binding-site 87.5 bases upstream of PM8J2-756	1116986	1116986	+	comK
DegU DNA-binding-site regulating PM8J2-1044			+	yxjJI
DegU DNA-binding-site regulating PM8J2-576			+	sacB-yveBA
DegU DNA-binding-site regulating PM8J2-795			+	amyE
DegU DNA-binding-site regulating PM8J2-890	1511256	1511256	+	sipT
DegU DNA-binding-site regulating PM8J2-892			-	nprE
DegU-P DNA-binding-site 129 bases upstream of flgMp	3640712	3640729	-	flgM-yvyG-flgKL
DegU-P DNA-binding-site 33 bases upstream of degUp3	3645305	3645384	-	degU
DegU-P DNA-binding-site 62.5 bases upstream of flgMp	3640646	3640662	-	flgM-yvyG-flgKL
DeoR DNA-binding-site 39 bases upstream of deoCp	4052324	4052362	-	deoC-nupC-pdp
DesR DNA-binding-site 53.0 bases upstream of PM8J2-740	2089315	2089315	+	des
DNA-binding-site (BS8J2-15)				
DNA-binding-site (BS8J2-17774)	1270486	1270530		
DNA-binding-site (BS8J2-17792)				
DNA-binding-site (BS8J2-17794)				
DNA-binding-site (BS8J2-17796)				
DNA-binding-site (BS8J2-17798)				
DNA-binding-site (BS8J2-17800)				
DNA-binding-site (BS8J2-17802)				
DNA-binding-site (BS8J2-17804)				
DNA-binding-site (BS8J2-17806)				
DNA-binding-site (BS8J2-17808)				
DNA-binding-site (BS8J2-17810)				
DNA-binding-site (BS8J2-17812)				
DNA-binding-site (BS8J2-17814)				
DNA-binding-site (BS8J2-17816)				
DNA-binding-site (BS8J2-17818)				
DNA-binding-site (BS8J2-17820)				
DNA-binding-site (BS8J2-17822)				
DNA-binding-site (BS8J2-17824)				
DNA-binding-site (BS8J2-17826)				
DNA-binding-site (BS8J2-17828)				
DNA-binding-site (BS8J2-17830)				
DNA-binding-site (BS8J2-17832)				
DNA-binding-site (BS8J2-185)				
DNA-binding-site (BS8J2-268)				
DNA-binding-site (BS8J2-288)				
DNA-binding-site (BS8J2-345)				
DNA-binding-site (BS8J2-346)				
DNA-binding-site (BS8J2-347)				
DNA-binding-site (BS8J2-740)	3640712	3640729		
DnaA DNA-binding-site 120.0 bases upstream of dnaA-TR3	37	37	+	dnaAN
DnaA DNA-binding-site 133.0 bases upstream of dnaA-TR3	24	24	+	dnaAN
DnaA DNA-binding-site 158.5 bases upstream of dnaA-TR3	-1	-1	+	dnaAN
DnaA DNA-binding-site 46.5 bases downstream of dnaA-TR3	203	203	+	dnaAN
DnaA DNA-binding-site 50.0 bases upstream of dnaA-TR3	107	107	+	dnaAN
DnaA DNA-binding-site 88.5 bases downstream of dnaA-TR3	245	245	+	dnaAN
DnaA DNA-binding-site 89.5 bases upstream of dnaA-TR3	68	68	+	dnaAN
DnaA DNA-binding-site 93.5 bases upstream of sdap	2647279	2647279	+	sda
DnaA DNA-binding-site regulating dnaA-TR3 (BS8J2-513)			+	dnaAN
DnaA DNA-binding-site regulating dnaA-TR3 (BS8J2-514)			+	dnaAN
ExuR DNA-binding-site 17.5 bases downstream of exuP1	1300414	1300414	+	uxaC-yjmBCD-uxuA-yjmF-exuTR-uxaBA
FadR DNA-binding-site 16.0 bases upstream of PM8J2-488	3816578	3816578	-	ywjF-acdA-rpoE
FadR DNA-binding-site 3.5 bases downstream of PM8J2-516	1100929	1100929	+	yhfL
FadR DNA-binding-site 5.0 bases upstream of PM8J2-511	1478029	1478029	+	ykuFG
FapR DNA-binding-site 13.5 bases upstream of PM8J2-731	1208141	1208141	+	fabHAF
FapR DNA-binding-site 14.0 bases upstream of PM8J2-728	1661923	1661923	+	fapR-plsX-fabDG
FapR DNA-binding-site regulating fabIp	1247724	1247724	+	fabI
FapR DNA-binding-site regulating PM8J2-943	1093809	1093809	-	fabHB
FatR DNA-binding-site 65 bases downstream of fatRp	2777683	2777701	-	yrhIJ
Fnr DNA-binding-site 38.5 bases upstream of PM8J2-649	3830017	3830017	-	narGHJI
Fnr DNA-binding-site 40.5 bases upstream of PM8J2-787	3830683	3830683	-	arfM
Fnr DNA-binding-site 41.5 bases upstream of PM8J2-81	3833587	3833587	-	narK-fnr
Fnr DNA-binding-site regulating PM8J2-688			+	hemZ
FrlR DNA-binding-site 12.5 bases downstream of frlBp	3352127	3352137	-	frlBONMD
FrlR DNA-binding-site regulating frlRp			+	frlR
FruR DNA-binding-site regulating PM8J2-927			+	fruRKA
FtsR DNA-binding-site regulating PM8J2-824			+	ftsW-pycA
Fur DNA-binding-site 11.5 bases downstream of feuAp	183348	183348	-	feuABC-ybbA // feuABC-ybbA
Fur DNA-binding-site 11.5 bases downstream of ykuNp	1487008	1487008	+	ykuNOP
Fur DNA-binding-site 14.5 bases downstream of dhbAp	3292392	3292392	-	dhbACEBF
Fur DNA-binding-site 26.5 bases upstream of hmoAp	785482	785501	-	hmoA
Fur DNA-binding-site 26.5 bases upstream of ykuNp	1486971	1486971	+	ykuNOP
Fur DNA-binding-site regulating dynAp			-	mrgC
Fur DNA-binding-site regulating fbpAp	506671	506671	-	fbpAB
Fur DNA-binding-site regulating fpiBp	432286	432286	+	fpiBCDA
Fur DNA-binding-site regulating PM8J2-1001	2033683	2033683	-	yoaJ
Fur DNA-binding-site regulating PM8J2-1002	1107663	1107663	+	yhfQ
Fur DNA-binding-site regulating PM8J2-1003	826786	826786	-	yfmCDEF
Fur DNA-binding-site regulating PM8J2-1004	859431	859431	+	yfkM
Fur DNA-binding-site regulating PM8J2-1005 (BS8J2-498)	920365	920365	+	yfiZ-yfhA
Fur DNA-binding-site regulating PM8J2-1005 (BS8J2-499)	920428	920428	+	yfiZ-yfhA
Fur DNA-binding-site regulating PM8J2-1006			-	yfiY
Fur DNA-binding-site regulating PM8J2-1007	923553	923553	+	yfhC
Fur DNA-binding-site regulating PM8J2-1011	352810	352810	+	ycgT
Fur DNA-binding-site regulating PM8J2-1012	185062	185062	-	ybbB
Fur DNA-binding-site regulating PM8J2-1014	3418435	3418435	+	fhuD
Fur DNA-binding-site regulating PM8J2-995	4067140	4067140	+	yxeB
Fur DNA-binding-site regulating PM8J2-996	3821538	3821538	-	ywjA
Fur DNA-binding-site regulating PM8J2-997	3930596	3930596	-	ywbLMN
Fur DNA-binding-site regulating PM8J2-998 (BS8J2-488)	3380051	3380051	-	yusV
Fur DNA-binding-site regulating PM8J2-998 (BS8J2-489)	3380116	3380116	-	yusV
Fur DNA-binding-site regulating PM8J2-999	3293428	3293428	-	yuiI
Fur DNA-binding-site regulating ydhUp			-	ydhU
GabR DNA-binding-site 40 bases upstream of PM8J2-715	441478	441529	+	gabTD // gabR
GamR DNA-binding-site regulating gamAp			-	gamAP
GanR DNA-binding-site 46.5 bases upstream of ganSp	3508570	3508636	-	ganSPQAB
GbsR DNA-binding-site 26 bases downstream of opuBAp	3463286	3463302	-	opuBABCD
GbsR DNA-binding-site regulating gbsAB	3186594	3186610	-	gbsAB
GbsR DNA-binding-site regulating gbsR			+	gbsR
GerE DNA-binding-site 110.5 bases upstream of PM8J2-160	2148609	2148609	-	cgeCDE
GerE DNA-binding-site 110.5 bases upstream of PM8J2-161	2148536	2148536	+	cgeAB
