bnum,Promoter,strand,tss,detection,reads,translation_start,utr_len
b0828,iaaA,+,865760,D,121,865791,31
b0842,cmr,+,882872,D,1,882896,24
b0850,ybjC,+,890115,D,6,890136,21
b0852,rimK,+,891099,D,1,891190,91
b0854,potF,+,892857,D,13,893007,150
b0866,ybjQ,+,903740,D,288,903816,76
b0882,clpA,+,922303,D,20,922487,184
b0882,clpA,+,922315,D,502,922487,172
b0882,clpA,+,922433,D,1831,922487,54
b0889,lrp,+,931551,D,30,931818,267
b0890,ftsK,+,932152,D,1,932447,295
b0890,ftsK,+,932361,D,18,932447,86
b0893,serS,+,938588,D,13,938651,63
b0894,dmsA,+,940046,D,4,940182,136
b0907,serC,+,956818,D,235,956876,58
b0910,cmk,+,960388,D,10,960424,36
b0911,rpsA,+,960940,D,126,961218,278
b0911,rpsA,+,961082,D,11,961218,136
b0912,ihfB,+,962972,D,8,963051,79
b0917,ycaR,+,969865,D,476,969896,31
b0919,ycbJ,+,970895,D,1,970975,80
b0925,ycbB,+,980154,D,4,980270,116
b0926,ycbK,+,982246,ND,,982298,52
b0932,pepN,+,989814,D,125,989845,31
b0948,rlmL,+,1006895,D,52,1007067,172
b0950,pqiA,+,1010882,D,14,1011224,342
b0950,pqiA,+,1010889,D,2,1011224,335
b0956,ycbG,+,1017682,D,160,1017708,26
b0972,hyaA,+,1031207,D,6,1031362,155
b0980,appA,+,1039822,D,1,1039840,18
b1002,agp,+,1064782,D,99,1064808,26
b1013,rutR,+,1073336,D,2,1073465,129
b1013,rutR,+,1073357,ND,,1073465,108
b1015,putP,+,1078391,D,16,1078528,137
b1015,putP,+,1078402,D,1,1078528,126
b1015,putP,+,1078408,D,4,1078528,120
b1015,putP,+,1078433,ND,,1078528,95
b1015,putP,+,1078514,D,12,1078528,14
b4490,efeU,+,1080530,D,54,1080579,49
b1020,phoH,+,1084088,D,6,1084215,127
b1020,phoH,+,1084161,D,54,1084215,54
b1041,csgB,+,1103082,ND,,1103174,92
b1046,ymdC,+,1105515,D,2,1105578,63
b1048,mdoG,+,1108480,D,47,1108558,78
b1048,mdoG,+,1108501,D,144,1108558,57
b1055,yceA,+,1115995,D,681,1116030,35
b1055,yceA,+,1116150,D,2,1116030,-120
b4418,psrD,+,1145812,D,48,1145812,0
b1088,yceD,+,1145872,D,249,1146017,145
b1088,yceD,+,1146014,D,474,1146017,3
b1089,rpmF,+,1146561,D,2,1146590,29
b1094,acpP,+,1150797,D,5111,1150838,41
b1101,ptsG,+,1156849,D,19,1157092,243
b1101,ptsG,+,1156989,D,2183,1157092,103
b1109,ndh,+,1165215,ND,,1165308,93
b1127,pepT,+,1185046,D,5,1185067,21
b1136,icd,+,1194184,D,218,1194346,162
b1136,icd,+,1194231,D,109,1194346,115
b1179,ycgL,+,1226832,D,1,1226904,72
b1187,fadR,+,1234139,D,38,1234161,22
b1189,dadA,+,1236732,D,4,1236794,62
b1189,dadA,+,1236748,D,76,1236794,46
b1189,dadA,+,1236761,D,11,1236794,33
b1205,ychH,+,1257961,D,777,1258014,53
b1210,hemA,+,1262806,D,1,1262937,131
b1210,hemA,+,1262899,D,64,1262937,38
b1213,ychQ,+,1266122,ND,,1266147,25
b1215,kdsA,+,1267077,D,8,1267388,311
b1218,chaC,+,1271645,D,150,1271730,85
b1220,ychO,+,1273171,ND,,1273007,-164
b1223,narK,+,1277044,ND,,1277180,136
b1223,narK,+,1277155,ND,,1277180,25
b1235,rssB,+,1289443,D,5,1289465,22
b1252,tonB,+,1309078,D,155,1309113,35
b1256,ompW,+,1312015,D,35,1312044,29
b1266,trpH,+,1321212,D,25,1321244,32
b1274,topA,+,1328813,D,16,1329072,259
b1274,topA,+,1328849,D,17,1329072,223
b1274,topA,+,1328872,D,2,1329072,200
b1274,topA,+,1328907,D,4,1329072,165
b1274,topA,+,1329004,D,3,1329072,68
b1276,acnA,+,1333448,D,38,1333855,407
b1276,acnA,+,1333805,D,120,1333855,50
b1276,acnA,+,1333851,D,3,1333855,4
b1279,yciS,+,1338159,D,26,1338267,108
b1298,puuD,+,1359075,D,428,1359144,69
b1304,pspA,+,1366062,D,737,1366103,41
b1321,ycjX,+,1382093,D,94,1382141,48
b1323,tyrR,+,1384716,D,94,1384744,28
b1325,ycjG,+,1386898,D,20,1386954,56
b1342,ydaN,+,1406048,D,37,1406074,26
b4427,micC,+,1435145,ND,,1435145,0
b1385,feaB,+,1445521,D,3,1445543,22
b1388,paaA,+,1451889,ND,,1451951,62
b1399,paaX,+,1461533,D,21,1461563,30
b1415,aldA,+,1486214,D,163,1486256,42
b1421,trg,+,1490463,D,18,1490494,31
b1429,tehA,+,1498560,D,9,1498597,37
b1439,ydcR,+,1508002,D,23,1508027,25
b1452,yncE,+,1521251,D,1200,1521331,80
b1454,yncG,+,1524252,D,30,1524271,19
b1474,fdnG,+,1545396,ND,,1545425,29
b1482,osmC,+,1554620,D,648,1554649,29
b1482,osmC,+,1554630,D,623,1554649,19
b1539,ydfG,+,1625515,D,293,1625541,26
b1540,ydfH,+,1626350,D,48,1626376,26
b1575,dicB,+,1647621,ND,,1647633,12
b1583,ynfB,+,1653733,D,5,1653832,99
b1597,asr,+,1669351,D,15,1669400,49
b1601,tqsA,+,1671914,D,6,1671937,23
b1608,rstA,+,1680162,D,97,1680183,21
b1613,manA,+,1686575,D,64,1686600,25
b1614,ydgA,+,1687818,D,142,1687876,58
b1626,ydgK,+,1703231,D,54,1703274,43
b1627,rsxA,+,1703779,D,5,1703791,12
b1634,tppB,+,1710695,D,2,1710793,98
b1635,gst,+,1712351,D,6,1712401,50
b1641,slyB,+,1717772,D,420,1717900,128
b1641,slyB,+,1717801,D,3932,1717900,99
b1643,ydhI,+,1719022,D,7,1719049,27
b1649,ydhM,+,1724045,D,24,1724047,2
b1653,lhr,+,1726377,ND,,1727111,734
b1656,sodB,+,1733347,D,2242,1733402,55
b1661,cfa,+,1739225,D,131,1739437,212
b1661,cfa,+,1739403,D,41,1739437,34
b1665,valV,+,1744439,D,1,1744459,20
b1676,pykF,+,1753624,D,91,1753722,98
b1676,pykF,+,1753687,D,638,1753722,35
b1677,lpp,+,1755320,ND,,1755445,125
b1677,lpp,+,1755407,D,12457,1755445,38
b4431,rprA,+,1768396,D,472,1768396,0
b1704,aroH,+,1786342,D,128,1786459,117
b1704,aroH,+,1786408,D,63,1786459,51
b1723,pfkB,+,1804347,D,3,1804394,47
b1723,pfkB,+,1804375,D,114,1804394,19
b1727,yniC,+,1807350,D,138,1807404,54
b1732,katE,+,1811838,D,46,1811891,53
b1740,nadE,+,1820326,ND,,1820482,156
b1757,ynjE,+,1837464,D,3,1837491,27
b1761,gdhA,+,1840332,D,604,1840395,63
b1779,gapA,+,1860550,D,96,1860795,245
b1779,gapA,+,1860621,D,18,1860795,174
b1779,gapA,+,1860642,D,407,1860795,153
b1779,gapA,+,1860759,D,3020,1860795,36
b1783,yeaG,+,1864789,D,2,1864932,143
b1789,yeaL,+,1872347,ND,,1872376,29
b1814,sdaA,+,1894833,D,106,1894956,123
b1817,manX,+,1899957,D,126,1900072,115
b4432,ryeA,+,1921090,D,52,1921090,0
b1854,pykA,+,1935518,D,41,1935673,155
b1854,pykA,+,1935571,D,411,1935673,102
b1858,znuC,+,1940658,D,16,1940686,28
b1902,ftnB,+,1984799,ND,,1984949,150
b1902,ftnB,+,1984823,D,7,1984949,126
b1907,tyrP,+,1987526,ND,,1987705,179
b1907,tyrP,+,1987669,D,52,1987705,36
b1944,fliL,+,2017608,D,23,2017642,34
b1944,fliL,+,2017619,D,1,2017642,23
b1951,rcsA,+,2021860,D,1,2021992,132
b1967,hchA,+,2033654,D,61,2033859,205
b1967,hchA,+,2033804,D,117,2033859,55
b1973,yodA,+,2039370,D,2452,2039399,29
b1982,amn,+,2053055,D,29,2053085,30
b2000,flu,+,2069341,D,21,2069563,222
b2000,flu,+,2069498,D,202,2069563,65
b2000,flu,+,2069527,D,13,2069563,36
b2011,sbcB,+,2080752,D,144,2080780,28
b2018,hisL,+,2087988,D,682,2088020,32
b2022,hisB,+,2091384,D,18,2091492,108
b2063,yegH,+,2135887,D,4,2135926,39
b4438,ryeE,+,2165138,D,1515,2165136,-2
b2098,yegT,+,2176803,ND,,2176843,40
b2114,metG,+,2192291,D,32,2192322,31
b2143,cdd,+,2229841,D,13,2229866,25
b2146,yeiT,+,2232011,D,21,2232055,44
b2159,nfo,+,2248828,D,88,2248862,34
b2163,yeiL,+,2253312,ND,,2253377,65
b2175,spr,+,2267942,D,114,2268001,59
b2193,narP,+,2288444,D,8,2288522,78
b4439,micF,+,2311106,D,124,2311106,0
b2221,atoD,+,2321434,ND,,2321469,35
b2234,nrdA,+,2342777,D,175,2342887,110
b2321,flK,+,2435934,ND,,2435972,38
b2344,fadL,+,2459227,D,33,2459328,101
b2369,evgA,+,2481653,D,346,2481777,124
b2369,evgA,+,2481663,D,130,2481777,114
b2378,lpxP,+,2493600,ND,,2493667,67
b2393,nupC,+,2511031,D,131,2511064,33
b2414,cysK,+,2530366,D,6,2530431,65
b2415,ptsH,+,2531520,D,3,2531786,266
b2415,ptsH,+,2531523,D,888,2531786,263
b2415,ptsH,+,2531529,D,182,2531786,257
b2415,ptsH,+,2531623,D,211,2531786,163
b2415,ptsH,+,2531630,D,8,2531786,156
b2417,crr,+,2533502,D,22,2533856,354
b2417,crr,+,2533632,D,49,2533856,224
b2419,yfeK,+,2535337,D,68,2535364,27
b2435,amiA,+,2550263,D,81,2550374,111
b2436,hemF,+,2551227,D,3,2551247,20
b2464,talA,+,2576592,ND,,2576688,96
b2464,talA,+,2576610,D,3,2576688,78
b2464,talA,+,2576630,D,183,2576688,58
b2472,dapE,+,2589582,D,47,2589629,47
b2479,gcvR,+,2597901,D,116,2597928,27
b2480,bcp,+,2598459,D,115,2598500,41
b2481,hyfA,+,2599193,D,1,2599223,30
b2494,yfgC,+,2614048,D,1,2614116,68
b2494,yfgC,+,2614090,D,3,2614116,26
b2521,sseA,+,2650413,D,10,2650516,103
b2535,csiE,+,2663423,D,10,2663457,34
b2538,hcaE,+,2667004,D,1,2667054,50
b2552,hmp,+,2683819,D,195,2683857,38
b4608,ryfC,+,2698540,D,4,2698542,2
b2582,trxC,+,2716697,D,143,2716757,60
b2595,bamD,+,2733983,D,24,2734168,185
b2595,bamD,+,2734028,D,8,2734168,140
b2617,smpA,+,2751508,D,12,2751627,119
b2630,rnlA,+,2763928,D,187,2763940,12
b2631,yfjO,+,2764729,D,3,2765006,277
b2659,csiD,+,2786949,D,31,2787007,58
b2661,gabD,+,2788934,D,3,2789295,361
b2661,gabD,+,2789194,D,1,2789295,101
b2672,ygaM,+,2798143,D,233,2798156,13
b2673,nrdH,+,2798678,D,45,2798745,67
b2677,proV,+,2802585,D,5,2802837,252
b2677,proV,+,2802621,ND,,2802837,216
b2677,proV,+,2802777,D,21,2802837,60
b2682,ygaZ,+,2807710,D,15,2807639,-71
b2684,mprA,+,2808769,D,21,2808792,23
b4442,micA,+,2812824,D,429,2812824,0
b2707,srlR,+,2826882,D,1,2827069,187
b2710,norV,+,2830461,D,3,2830498,37
b2726,hypA,+,2848649,ND,,2848669,20
b2727,hypB,+,2848861,D,26,2849023,162
b2733,mutS,+,2855041,D,156,2855115,74
b2794,queF,+,2923343,D,30,2923370,27
b4443,gcvB,+,2940718,D,208,2940718,0
b2837,galR,+,2974591,D,61,2974621,30
b2866,xdhA,+,2998279,ND,,2998367,88
b2895,fldB,+,3037844,D,99,3037877,33
b2898,ygfZ,+,3039304,D,419,3039335,31
b2911,ssrS,+,3053781,D,79,3054005,224
b2911,ssrS,+,3053996,D,11741,3054005,9
b2916,argP,+,3057752,D,9,3057775,23
b2936,yggG,+,3079914,D,3,3079935,21
b2942,metK,+,3084599,D,328,3084728,129
b2943,galP,+,3086277,D,149,3086306,29
b2954,rdgB,+,3094642,D,40,3094703,61
b2961,mutY,+,3100933,ND,,3101035,102
b2961,mutY,+,3101010,D,8,3101035,25
b2962,yggX,+,3102015,D,103,3102115,100
b2964,nupG,+,3103673,D,38,3103736,63
b2980,glcC,+,3126228,D,28,3126294,66
b2989,yghU,+,3136722,D,74,3136749,27
b3009,yghB,+,3151551,D,41,3151585,34
b3012,dkgA,+,3154593,D,171,3154645,52
b3025,qseB,+,3167773,ND,,3167850,77
b3025,qseB,+,3167823,D,5,3167850,27
b3055,htrG,+,3199064,D,21,3199229,165
b3055,htrG,+,3199126,ND,,3199229,103
b3065,rpsU,+,3208668,D,821,3208803,135
b3065,rpsU,+,3208734,D,3784,3208803,69
b3067,rpoD,+,3210495,D,12,3211069,574
b3067,rpoD,+,3210659,D,1,3211069,410
b3067,rpoD,+,3210710,D,227,3211069,359
b3067,rpoD,+,3210715,D,2,3211069,354
b3071,yqjI,+,3214775,D,172,3214801,26
b3073,ygjG,+,3217480,D,14,3217516,36
b3075,ebgR,+,3219459,ND,,3219488,29
b3087,ygjR,+,3235304,D,129,3235333,29
b3089,sstT,+,3237885,D,133,3237966,81
b3095,yqjA,+,3245570,D,20,3245795,225
b3095,yqjA,+,3245665,D,26,3245795,130
b3132,kbaZ,+,3276888,D,3,3276936,48
b3136,agaS,+,3279911,D,3,3279998,87
b3150,yraP,+,3294094,D,1,3294431,337
b3150,yraP,+,3294371,D,9,3294431,60
b3180,yhbY,+,3325781,D,69,3325812,31
b3196,yrbG,+,3338233,D,5,3338297,64
b3200,lptA,+,3341348,D,13,3341402,54
b3201,lptB,+,3341418,D,9,3341966,548
b3207,yrbL,+,3346443,D,41,3346474,31
b3233,yhcB,+,3378204,D,16,3378213,9
b3234,degQ,+,3378676,D,16,3378765,89
b3237,argR,+,3382624,D,19,3382725,101
b3237,argR,+,3382699,D,46,3382725,26
b3255,accB,+,3403162,D,1,3403458,296
b3257,yhdT,+,3405373,D,3,3405397,24
b3260,dusB,+,3408268,D,26,3408302,34
b3287,def,+,3431672,D,72,3431712,40
b3291,mscL,+,3436023,D,40,3436046,23
b3324,gspC,+,3453504,ND,,3453600,96
b3324,gspC,+,3453549,D,2,3453600,51
b3324,gspC,+,3453553,D,3,3453600,47
b3355,prkB,+,3482333,ND,,3482512,179
b3357,crp,+,3483975,D,123,3484142,167
b3357,crp,+,3484047,D,9,3484142,95
b3357,crp,+,3484053,D,2,3484142,89
b3364,tsgA,+,3490541,D,17,3490590,49
b3368,cysG,+,3495776,D,74,3495850,74
b3368,cysG,+,3495815,D,1,3495850,35
b3396,mrcA,+,3520848,D,19,3520893,45
b3400,hslR,+,3527132,D,73,3527370,238
b3403,pck,+,3530701,D,20,3530840,139
b3414,gntY,+,3543480,D,36,3543646,166
b3414,gntY,+,3543618,D,481,3543646,28
b3415,gntT,+,3544427,D,2,3544581,154
b3415,gntT,+,3544468,D,1,3544581,113
b3415,gntT,+,3544471,ND,,3544581,110
b3418,malT,+,3551046,D,511,3551107,61
b3426,glpD,+,3559994,D,10,3560036,42
b3469,zntA,+,3604445,D,34,3604474,29
b3481,nikR,+,3616560,D,57,3616611,51
b3493,pitA,+,3635635,D,30,3635665,30
b3495,uspA,+,3638006,D,326,3638134,128
b3495,uspA,+,3638021,D,232,3638134,113
b3495,uspA,+,3638023,D,29,3638134,111
b3499,yhiR,+,3643373,D,3,3643408,35
b3501,arsR,+,3646535,D,2,3646551,16
b3511,hdeD,+,3654983,D,545,3655018,35
b3511,hdeD,+,3655034,D,20,3655018,-16
b3512,gadE,+,3656264,D,37,3656389,125
b3512,gadE,+,3656297,D,19,3656389,92
b3512,gadE,+,3656368,D,6,3656389,21
b4452,gadY,+,3662887,D,34,3662887,0
b4454,rdlD,+,3698159,D,12,3698159,0
b3555,yiaG,+,3717454,D,198,3717501,47
b3556,cspA,+,3717912,D,91,3718072,160
b3556,cspA,+,3717963,D,3,3718072,109
b3566,xylF,+,3729092,D,1,3729154,62
b3569,xylR,+,3732929,D,12,3733002,73
b3571,malS,+,3735493,D,3,3735520,27
b3572,avtA,+,3737697,D,57,3737728,31
b3575,yiaK,+,3740697,D,1,3740756,59
b3575,yiaK,+,3740743,ND,,3740756,13
b3603,lldP,+,3775312,D,19,3775422,110
b3612,gpmM,+,3783258,D,806,3783283,25
b3619,rfaD,+,3791888,ND,,3792010,122
b3619,rfaD,+,3791919,D,5,3792010,91
b3619,rfaD,+,3791962,D,2311,3792010,48
b3619,rfaD,+,3791993,D,27,3792010,17
b3633,waaA,+,3806539,D,38,3806563,24
b3639,dfp,+,3810726,D,9,3810754,28
b3655,yicH,+,3828454,D,43,3828480,26
b3680,yidL,+,3858276,D,1,3858276,0
b3688,yidQ,+,3865567,ND,,3865751,184
b3703,rpmH,+,3882088,D,6,3882359,271
b3703,rpmH,+,3882134,D,22,3882359,225
b3703,rpmH,+,3882260,D,1227,3882359,99
b3707,tnaC,+,3886434,D,5,3886458,24
b3712,yieE,+,3891852,D,28,3891892,40
b3744,asnA,+,3925152,D,221,3925178,26
b3747,kup,+,3929126,ND,,3929339,213
b3747,kup,+,3929204,D,2,3929339,135
b3747,kup,+,3929288,D,5,3929339,51
b3748,rbsD,+,3931345,D,223,3931374,29
b3766,ilvL,+,3948241,D,5,3948345,104
b3766,ilvL,+,3948313,D,1007,3948345,32
b3770,ilvE,+,3950411,D,329,3950507,96
b3774,ilvC,+,3955935,D,7252,3955993,58
b3782,rhoL,+,3964185,D,102,3964254,69
b4456,glmZ,+,3984455,D,795,3984455,0
b3806,cyaA,+,3988797,D,5,3989176,379
b3806,cyaA,+,3988813,D,2,3989176,363
b3806,cyaA,+,3989022,D,88,3989176,154
b3809,dapF,+,3992901,ND,,3992785,-116
b3829,metE,+,4010907,D,4103,4011076,169
b3831,udp,+,4014414,D,261,4014454,40
b3844,fre,+,4024466,D,43,4024550,84
b3844,fre,+,4024508,D,2,4024550,42
b3847,pepQ,+,4029170,D,43,4029184,14
b3858,yihD,+,4040072,D,143,4040092,20
b3859,rdoA,+,4040414,D,107,4040438,24
b3860,dsbA,+,4041400,D,201,4041441,41
b3863,polA,+,4044963,D,786,4044989,26
b4457,csrC,+,4049059,D,4204,4049059,0
b3867,hemN,+,4049966,D,4,4050068,102
b3885,yihX,+,4073571,D,6,4073576,5
b3905,rhaS,+,4095734,ND,,4095759,25
b4484,cpxP,+,4103808,D,74,4103843,35
b3916,pfkA,+,4105497,D,75,4105575,78
b3922,yiiS,+,4110892,D,2,4110990,98
b3936,rpmE,+,4124931,D,224,4125036,105
b3963,fabR,+,4159103,D,59,4159147,44
b3966,btuB,+,4161422,D,1,4161662,240
b3968,rrsB,+,4164390,ND,,4164682,292
b3968,rrsB,+,4164507,ND,,4164682,175
b3981,secE,+,4175200,D,2,4175381,181
b3983,rplK,+,4176377,D,2625,4176470,93
b3985,rplJ,+,4177646,D,38,4178019,373
b3987,rpoB,+,4179086,D,159,4179268,182
b3989,yjaZ,+,4187776,ND,,4187809,33
b4000,hupA,+,4198199,D,376,4198304,105
b4013,metA,+,4212182,ND,,4212303,121
b4013,metA,+,4212256,D,455,4212303,47
b4014,aceB,+,4213425,D,47,4213501,76
b4020,yjbB,+,4225625,D,110,4225754,129
b4025,pgi,+,4231745,D,655,4231781,36
b4030,psiE,+,4238323,D,1,4238348,25
b4042,dgkA,+,4254631,D,9,4254660,29
b4050,pspG,+,4260839,D,4,4260863,24
b4052,dnaB,+,4262306,D,137,4262337,31
b4053,alr,+,4263612,D,25,4263805,193
b4053,alr,+,4263675,ND,,4263805,130
b4054,tyrB,+,4265105,D,26,4265137,32
b4056,yjbQ,+,4268237,D,145,4268261,24
b4063,soxR,+,4275470,D,8,4275492,22
b4090,rpiB,+,4311280,D,5,4311373,93
b4111,proP,+,4328343,D,13,4328525,182
b4111,proP,+,4328430,D,7,4328525,95
b4119,melA,+,4339910,D,5,4339934,24
b4140,fxsA,+,4366626,D,2,4366687,61
b4142,groS,+,4368639,D,1411,4368711,72
b4143,groL,+,4368806,ND,,4369048,242
b4143,groL,+,4368896,D,6,4369048,152
b4143,groL,+,4368999,D,82,4369048,49
b4144,yjeI,+,4370784,D,652,4370832,48
b4411,ecnB,+,4374532,D,506,4374576,44
b4148,sugE,+,4374817,D,27,4374898,81
b4155,poxA,+,4380641,D,1,4380666,25
b4167,yjeF,+,4391700,D,16,4392089,389
b4167,yjeF,+,4391960,D,93,4392089,129
b4167,yjeF,+,4392058,D,54,4392089,31
b4170,mutL,+,4395069,D,4,4395435,366
b4170,mutL,+,4395123,ND,,4395435,312
b4171,miaA,+,4397005,ND,,4397275,270
b4171,miaA,+,4397075,D,20,4397275,200
b4172,hfq,+,4397824,D,1,4398311,487
b4172,hfq,+,4398243,D,54,4398311,68
b4177,purA,+,4402687,D,349,4402710,23
b4178,nsrR,+,4404067,D,5,4404213,146
b4187,aidB,+,4412270,D,21,4412298,28
b4193,ulaA,+,4417950,ND,,4418003,53
b4200,rpsF,+,4423048,D,140,4423141,93
b4208,cycA,+,4427803,D,8,4427887,84
b4217,ytfK,+,4437534,D,40,4437610,76
b4235,pmbA,+,4455968,D,50,4455982,14
b4242,mgtA,+,4465303,D,1,4465648,345
