TU,Strand,Start,End,Len ,MU Assembly,TSS ,Current Annotation Assembly,Promoter,Start,5'UTR Len
TU-0067,FWD,93134,107459,14325,MU-35;MU-36;MU-37;MU-38;MU-39,93137,murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC,murE,93166,29
TU-0068,FWD,93134,107459,14325,MU-35;MU-36;MU-37;MU-38;MU-39,93145,murE;murF;mraY;murD;ftsW;murG;murC;ddlB;ftsQ;ftsA;ftsZ;lpxC,murE,93166,21
TU-0069,FWD,100784,107459,6675,MU-36;MU-37;MU-38;MU-39,100740,murC;ddlB;ftsQ;ftsA;ftsZ;lpxC,murC,100765,25
TU-0070,FWD,100784,107459,6675,MU-36;MU-37;MU-38;MU-39,100750,murC;ddlB;ftsQ;ftsA;ftsZ;lpxC,murC,100765,15
TU-0071,FWD,102784,107459,4675,MU-37;MU-38;MU-39,102763,ftsQ;ftsA;ftsZ;lpxC,ftsQ,103155,392
TU-0072,FWD,104609,107459,2850,MU-38;MU-39,104560,ftsZ;lpxC,ftsZ,105305,745
TU-0073,FWD,106509,107459,950,MU-39,106507,lpxC,lpxC,106557,50
TU-0074,FWD,106509,107459,950,MU-39,106519,lpxC,lpxC,106557,38
TU-0075,FWD,106509,107459,950,MU-39,106530,lpxC,lpxC,106557,27
TU-0076,FWD,107709,107984,275,MU-40,107561,secM;secA;mutT,secM,107705,144
TU-0077,FWD,108009,111584,3575,MU-41,107977,secA;mutT,secA,108279,302
TU-0078,FWD,108009,111584,3575,MU-41,108025,secA;mutT,secA,108279,254
TU-0079,FWD,108009,111584,3575,MU-41,108119,secA;mutT,secA,108279,160
TU-0080,FWD,108009,111584,3575,MU-41,108132,secA;mutT,secA,108279,147
TU-0081,FWD,113409,114484,1075,MU-42,113396,guaC,guaC,113444,48
TU-0082,FWD,113409,114484,1075,MU-42,113415,guaC,guaC,113444,29
TU-0083,FWD,113409,114484,1075,MU-42,113436,guaC,guaC,113444,8
TU-0084,FWD,118734,120209,1475,MU-43,118701,ampD;ampE,ampD,118733,32
TU-0085,FWD,118734,120209,1475,MU-43,118918,ampD;ampE,ampD,118733,-185
TU-0086,FWD,122063,127588,5525,MU-44;MU-45,122034,pdhR;aceE;aceF;lpd,pdhR,122092,58
TU-0087,FWD,122988,127588,4600,MU-45,122852,aceE;aceF;lpd,aceE,123017,165
TU-0088,FWD,122988,127588,4600,MU-45,122860,aceE;aceF;lpd,aceE,123017,157
TU-0089,FWD,122988,127588,4600,MU-45,122969,aceE;aceF;lpd,aceE,123017,48
TU-0090,FWD,122988,127588,4600,MU-45,122975,aceE;aceF;lpd,aceE,123017,42
TU-0091,FWD,122988,127588,4600,MU-45,122985,aceE;aceF;lpd,aceE,123017,32
TU-0092,FWD,122988,127588,4600,MU-45,122992,aceE;aceF;lpd,aceE,123017,25
TU-0093,FWD,122988,127588,4600,MU-45,123003,aceE;aceF;lpd,aceE,123017,14
TU-0094,FWD,127638,129321,1683,MU-46,127700,lpd,lpd,127912,212
TU-0095,FWD,127638,129321,1683,MU-46,127717,lpd,lpd,127912,195
TU-0096,FWD,129571,129596,25,MU-47,129500,NT,,,
TU-0097,FWD,130246,130671,425,MU-48,130202,NT,,,
TU-0098,FWD,131546,134246,2700,MU-49,131519,acnB,acnB,131615,96
TU-0099,FWD,131546,134246,2700,MU-49,131743,acnB,acnB,131615,-128
TU-0100,FWD,134346,134821,475,MU-50,134339,yacL,yacL,134388,49
TU-0101,FWD,137071,138596,1525,MU-51,137044,cueO,cueO,137083,39
TU-0102,FWD,137071,138596,1525,MU-51,137049,cueO,cueO,137083,34
TU-0103,FWD,141371,142596,1225,MU-52,141360,hpt,hpt,141431,71
TU-0104,FWD,141371,142596,1225,MU-52,141407,hpt,hpt,141431,24
TU-0105,FWD,142646,144946,2300,MU-53,142733,yadG;yadH;yadI,yadG,142779,46
TU-0106,FWD,145071,146250,1179,MU-54,145108,yadE,yadE,145081,-27
TU-0107,FWD,146968,147870,902,MU-55,,yadD,yadD,146968,
TU-0108,FWD,147600,147825,225,MU-56,147583,NT,,,
TU-0109,FWD,147600,147825,225,MU-56,147647,NT,,,
TU-0110,FWD,162101,164526,2425,MU-57,162077,hrpB,hrpB,162105,28
TU-0111,FWD,164601,167226,2625,MU-58,164648,mrcB,mrcB,164730,82
TU-0112,FWD,164601,167226,2625,MU-58,164658,mrcB,mrcB,164730,72
TU-0113,FWD,167451,173576,6125,MU-59;MU-60,167427,fhuA;fhuC;fhuD;fhuB,fhuA,167484,57
TU-0114,FWD,167451,173576,6125,MU-59;MU-60,167443,fhuA;fhuC;fhuD;fhuB,fhuA,167484,41
TU-0115,FWD,169776,173576,3800,MU-60,169728,fhuC;fhuD;fhuB,fhuC,169778,50
TU-0116,FWD,169776,173576,3800,MU-60,169733,fhuC;fhuD;fhuB,fhuC,169778,45
TU-0117,FWD,174951,176576,1625,MU-61,174931,clcA,clcA,175107,176
TU-0118,FWD,174951,176576,1625,MU-61,174975,clcA,clcA,175107,132
TU-0119,FWD,174951,176576,1625,MU-61,175009,clcA,clcA,175107,98
TU-0120,FWD,174951,176576,1625,MU-61,175074,clcA,clcA,175107,33
TU-0121,FWD,176601,177051,450,MU-62,176558,erpA,erpA,176610,52
TU-0122,FWD,176601,177051,450,MU-62,176561,erpA,erpA,176610,49
TU-0123,FWD,176601,177051,450,MU-62,176583,erpA,erpA,176610,27
TU-0124,FWD,176601,177051,450,MU-62,176592,erpA,erpA,176610,18
TU-0125,FWD,179226,180582,1356,MU-63,179264,dgt,dgt,179237,-27
TU-0126,FWD,180882,183582,2700,MU-64,180852,degP;cdaR,degP,180884,32
TU-0127,FWD,180882,183582,2700,MU-64,180859,degP;cdaR,degP,180884,25
TU-0128,FWD,186157,186832,675,MU-65,186142,NT,,,
TU-0129,FWD,189607,189757,150,MU-66,189639,tff,tff,189712,73
TU-0130,FWD,189807,191707,1900,MU-67,189842,rpsB;tsf,rpsB,189874,32
TU-0131,FWD,189807,191707,1900,MU-67,189866,rpsB;tsf,rpsB,189874,8
TU-0132,FWD,191757,192732,975,MU-68,191754,pyrH,pyrH,191855,101
TU-0133,FWD,191757,192732,975,MU-68,191812,pyrH,pyrH,191855,43
TU-0134,FWD,191757,192732,975,MU-68,191820,pyrH,pyrH,191855,35
TU-0135,FWD,192757,194532,1775,MU-69,192617,frr;dxr,frr,192872,255
TU-0136,FWD,192757,194532,1775,MU-69,192666,frr;dxr,frr,192872,206
TU-0137,FWD,192757,194532,1775,MU-69,192790,frr;dxr,frr,192872,82
TU-0138,FWD,192757,194532,1775,MU-69,192797,frr;dxr,frr,192872,75
TU-0139,FWD,192757,194532,1775,MU-69,192814,frr;dxr,frr,192872,58
TU-0140,FWD,192757,194532,1775,MU-69,192854,frr;dxr,frr,192872,18
TU-0141,FWD,192757,194532,1775,MU-69,192863,frr;dxr,frr,192872,9
TU-0142,FWD,194632,196532,1900,MU-70,194843,ispU;cdsA,ispU,194903,60
TU-0143,FWD,196557,200257,3700,MU-71;MU-72,196415,rseP;bamA,rseP,196546,131
TU-0144,FWD,196557,200257,3700,MU-71;MU-72,196429,rseP;bamA,rseP,196546,117
TU-0145,FWD,197907,200257,2350,MU-72,197823,bamA,bamA,197928,105
TU-0146,FWD,197907,200257,2350,MU-72,197883,bamA,bamA,197928,45
TU-0147,FWD,200282,202007,1725,MU-73,200138,skp;lpxD,skp,200482,344
TU-0148,FWD,200282,202007,1725,MU-73,200212,skp;lpxD,skp,200482,270
TU-0149,FWD,200282,202007,1725,MU-73,200256,skp;lpxD,skp,200482,226
TU-0150,FWD,200282,202007,1725,MU-73,200299,skp;lpxD,skp,200482,183
TU-0151,FWD,200282,202007,1725,MU-73,200305,skp;lpxD,skp,200482,177
TU-0152,FWD,200282,202007,1725,MU-73,200317,skp;lpxD,skp,200482,165
TU-0153,FWD,200282,202007,1725,MU-73,200378,skp;lpxD,skp,200482,104
TU-0154,FWD,200282,202007,1725,MU-73,200387,skp;lpxD,skp,200482,95
TU-0155,FWD,200282,202007,1725,MU-73,200399,skp;lpxD,skp,200482,83
TU-0156,FWD,202032,208407,6375,MU-74,202019,fabZ;lpxA;lpxB;rnhB;dnaE,fabZ,202101,82
TU-0157,FWD,202032,208407,6375,MU-74,202066,fabZ;lpxA;lpxB;rnhB;dnaE,fabZ,202101,35
TU-0158,FWD,202032,208407,6375,MU-74,202074,fabZ;lpxA;lpxB;rnhB;dnaE,fabZ,202101,27
TU-0159,FWD,202032,208407,6375,MU-74,202082,fabZ;lpxA;lpxB;rnhB;dnaE,fabZ,202101,19
TU-0160,FWD,208432,209582,1150,MU-75,208412,accA,accA,208621,209
TU-0161,FWD,209682,211757,2075,MU-76,209658,ldcC,ldcC,209679,21
TU-0162,FWD,211782,213682,1900,MU-77,211858,yaeR;tilS,yaeR,211877,19
TU-0163,FWD,214307,216107,1800,MU-78;MU-79,214269,yaeQ;yaeJ;nlpE,yaeQ,214291,22
TU-0164,FWD,214307,216107,1800,MU-78;MU-79,214284,yaeQ;yaeJ;nlpE,yaeQ,214291,7
TU-0165,FWD,215332,216107,775,MU-79,215123,nlpE,nlpE,215269,146
TU-0166,FWD,222832,223707,875,MU-80,222806,gmhB,gmhB,222833,27
TU-0167,FWD,223732,225607,1875,MU-81,223771,rrsH;ileV;alaV,rrsH,223771,0
TU-0168,FWD,225632,229012,3380,MU-82,225711,rrlH;rrfH;aspU,rrlH,225759,48
TU-0169,FWD,229162,229862,700,MU-83,229134,dkgB,dkgB,229167,33
TU-0170,FWD,231087,232587,1500,MU-84,231063,yafD;yafE,yafD,231122,59
TU-0171,FWD,234813,235463,650,MU-85,234785,yafS,yafS,234816,31
TU-0172,FWD,235963,236888,925,MU-86,236021,dnaQ,dnaQ,236067,46
TU-0173,FWD,236938,237038,100,MU-87,236861,aspV,aspV,236931,70
TU-0174,FWD,237335,238120,785,MU-88,,yafT,yafT,237335,
TU-0175,FWD,238462,238586,124,MU-89,,C0067,C0067,238462,
TU-0176,FWD,239106,239378,272,MU-90,,yafF,yafF,239106,
TU-0177,FWD,240338,240813,475,MU-91,240333,ivy,ivy,240343,10
TU-0178,FWD,243488,245313,1825,MU-92,243512,lpcA;yafJ,lpcA,243543,31
TU-0179,FWD,243488,245313,1825,MU-92,243522,lpcA;yafJ,lpcA,243543,21
TU-0180,FWD,246688,248038,1350,MU-93,246656,yafL;yafM,yafL,246712,56
TU-0181,FWD,248138,248338,200,MU-94,248128,NT,,,
TU-0182,FWD,250538,250788,250,MU-95,250492,lafU,lafU,250072,-420
TU-0183,FWD,250863,251838,975,MU-96,250883,dinB,dinB,250898,15
TU-0184,FWD,251913,252813,900,MU-97,251969,yafN;yafO;yafP,yafN,252005,36
TU-0185,FWD,252709,253161,452,MU-98,,yafP,yafP,252709,
TU-0186,FWD,253363,253463,100,MU-99,253336,NT,,,
TU-0187,FWD,253479,253685,206,MU-100,,ykfJ,ykfJ,253479,
TU-0188,FWD,253702,254202,500,MU-101,,prfH,prfH,253702,
TU-0189,FWD,255938,256438,500,MU-102,255918,gpt,gpt,255977,59
TU-0190,FWD,255938,256438,500,MU-102,255924,gpt,gpt,255977,53
TU-0191,FWD,255938,256438,500,MU-102,255936,gpt,gpt,255977,41
TU-0192,FWD,256513,257788,1275,MU-103,256502,frsA,frsA,256527,25
TU-0193,FWD,256513,257788,1275,MU-103,256509,frsA,frsA,256527,18
TU-0194,FWD,257813,258388,575,MU-104,257810,crl,crl,257829,19
TU-0195,FWD,259489,261989,2500,MU-105,259572,proB;proA,proB,259612,40
TU-0196,FWD,259489,261989,2500,MU-105,259576,proB;proA,proB,259612,36
TU-0197,FWD,259489,261989,2500,MU-105,259584,proB;proA,proB,259612,28
TU-0198,FWD,262089,262214,125,MU-106,262064,thrW,thrW,262095,31
TU-0199,FWD,262089,262214,125,MU-106,262114,thrW,thrW,262095,-19
TU-0200,FWD,268364,268539,175,MU-107,268350,NT,,,
TU-0201,FWD,269514,272564,3050,MU-108;MU-109,269482,insN;insI;insN,insN,269502,20
TU-0202,FWD,270864,272564,1700,MU-109,270974,insN,insN,270988,14
TU-0203,FWD,270864,272564,1700,MU-109,270979,insN,insN,270988,9
TU-0204,FWD,274539,277114,2575,MU-110,274508,mmuP;mmuM,mmuP,274549,41
TU-0205,FWD,278414,279314,900,MU-111,,NT,,,
TU-0206,FWD,281481,287623,6142,MU-112,,yagE;yagF;yagG;yagH,yagE,281481,
TU-0207,FWD,289715,290040,325,MU-113,289619,NT,,,
TU-0208,FWD,290065,290590,525,MU-114,,NT,,,
TU-0209,FWD,290765,291390,625,MU-115,290751,yagJ,yagJ,290724,-27
TU-0210,FWD,294940,295365,425,MU-116,294852,NT,,,
TU-0211,FWD,296365,296940,575,MU-117,296384,ptwF,ptwF,296430,46
TU-0212,FWD,302165,303140,975,MU-118,302181,yagU,yagU,302215,34
TU-0213,FWD,302165,303140,975,MU-118,302183,yagU,yagU,302215,32
TU-0214,FWD,311336,311563,227,MU-119,,ykgL,ykgL,311336,
TU-0215,FWD,312068,312193,125,MU-120,312032,NT,,,
TU-0216,FWD,313581,314452,871,MU-121,,eaeH,eaeH,313581,
TU-0217,FWD,314493,315693,1200,MU-122,,insE;insF,insE,314506,
TU-0218,FWD,316663,316791,128,MU-123,,ykgQ,ykgQ,316663,
TU-0219,FWD,319468,319743,275,MU-124,319342,ykgD,ykgD,319451,109
TU-0220,FWD,319468,319743,275,MU-124,319351,ykgD,ykgD,319451,100
TU-0221,FWD,320818,323868,3050,MU-125,320708,ykgE;ykgF;ykgG,ykgE,320832,124
TU-0222,FWD,328693,330368,1675,MU-126,328645,betT,betT,328687,42
TU-0223,FWD,330393,330768,375,MU-127,330428,NT,,,
TU-0224,FWD,331293,332618,1325,MU-128,331089,yahA,yahA,331595,506
TU-0225,FWD,331293,332618,1325,MU-128,331266,yahA,yahA,331595,329
TU-0226,FWD,331293,332618,1325,MU-128,331462,yahA,yahA,331595,133
TU-0227,FWD,331293,332618,1325,MU-128,331470,yahA,yahA,331595,125
TU-0228,FWD,334943,338943,4000,MU-129,334399,yahD;yahE;yahF;yahG,yahD,334504,105
TU-0229,FWD,334943,338943,4000,MU-129,334470,yahD;yahE;yahF;yahG,yahD,334504,34
TU-0230,FWD,339218,341793,2575,MU-130;MU-131,339162,yahI;yahJ,yahI,339389,227
TU-0231,FWD,340368,341793,1425,MU-131,340325,yahJ,yahJ,340349,24
TU-0232,FWD,341968,343143,1175,MU-132,342042,yahK,yahK,342108,66
TU-0233,FWD,341968,343143,1175,MU-132,342062,yahK,yahK,342108,46
TU-0234,FWD,341968,343143,1175,MU-132,342079,yahK,yahK,342108,29
TU-0235,FWD,343400,344215,815,MU-133,,yahL,yahL,343400,
TU-0236,FWD,344493,344643,150,MU-134,344602,NT,,,
TU-0237,FWD,344628,344873,245,MU-135,,yahM,yahM,344628,
TU-0238,FWD,345668,346043,375,MU-136,345656,yahO,yahO,345708,52
TU-0239,FWD,345668,346043,375,MU-136,345664,yahO,yahO,345708,44
TU-0240,FWD,345668,346043,375,MU-136,345678,yahO,yahO,345708,30
TU-0241,FWD,347893,353543,5650,MU-137,347871,prpB;prpC;prpD;prpE,prpB,347906,35
TU-0242,FWD,354143,357043,2900,MU-138,354108,codB;codA,codB,354146,38
TU-0243,FWD,354143,357043,2900,MU-138,354119,codB;codA,codB,354146,27
TU-0244,FWD,358023,360370,2347,MU-139,357998,cynT;cynS;cynX,cynT,358023,25
TU-0245,FWD,368052,374027,5975,MU-140,367744,mhpA;mhpB;mhpC;mhpD;mhpF;mhpE,mhpA,367835,91
TU-0246,FWD,374152,375852,1700,MU-141,374107,mhpT,mhpT,374683,576
TU-0247,FWD,375977,376952,975,MU-142,375966,yaiL,yaiL,375996,30
TU-0248,FWD,375977,376952,975,MU-142,375971,yaiL,yaiL,375996,25
TU-0249,FWD,380506,381781,1275,MU-143,,insC;insD,insC,380575,
TU-0250,FWD,382156,382581,425,MU-144,382126,NT,,,
TU-0251,FWD,384456,387831,3375,MU-145,384430,tauA;tauB;tauC;tauD,tauA,384456,26
TU-0252,FWD,389475,390932,1457,MU-146,389071,yaiT,yaiT,389475,404
TU-0253,FWD,390961,391361,400,MU-147,,NT,,,
TU-0254,FWD,389475,394353,4878,MU-148,,yaiT;yaiV,yaiT,389475,
TU-0255,FWD,395536,396775,1239,MU-149,395657,sbmA,sbmA,395863,206
TU-0256,FWD,395536,396775,1239,MU-149,395704,sbmA,sbmA,395863,159
TU-0257,FWD,395536,396775,1239,MU-149,395779,sbmA,sbmA,395863,84
TU-0258,FWD,396875,398179,1304,MU-150,396858,yaiW,yaiW,397096,238
TU-0259,FWD,398804,399379,575,MU-151,398796,yaiZ,yaiZ,398817,21
TU-0260,FWD,400579,400954,375,MU-152,400543,iraP,iraP,400610,67
TU-0261,FWD,400579,400954,375,MU-152,400587,iraP,iraP,400610,23
TU-0262,FWD,400979,402829,1850,MU-153,400875,phoA;psiF,phoA,400971,96
TU-0263,FWD,400979,402829,1850,MU-153,400902,phoA;psiF,phoA,400971,69
TU-0264,FWD,400979,402829,1850,MU-153,400916,phoA;psiF,phoA,400971,55
TU-0265,FWD,402980,404030,1050,MU-154,402912,adrA,adrA,402927,15
TU-0266,FWD,405005,405455,450,MU-155,404965,yaiI,yaiI,404988,23
TU-0267,FWD,405530,406530,1000,MU-156;MU-157,405456,aroL;yaiA;aroM,aroL,405629,173
TU-0268,FWD,405530,406530,1000,MU-156;MU-157,405502,aroL;yaiA;aroM,aroL,405629,127
TU-0269,FWD,406205,407380,1175,MU-157;MU-158,406176,yaiA;aroM,yaiA,406203,27
TU-0270,FWD,406555,407380,825,MU-158,406399,aroM,aroM,406652,253
TU-0271,FWD,407405,407680,275,MU-159,407371,yaiE,yaiE,407401,30
TU-0272,FWD,407780,408280,500,MU-160,407685,ykiA,ykiA,407893,208
TU-0273,FWD,409305,410605,1300,MU-161,409344,mak,mak,409368,24
TU-0274,FWD,415456,416281,825,MU-162,415429,NT,,,
TU-0275,FWD,416381,418381,2000,MU-163,416378,phoB;phoR,phoB,416366,-12
TU-0276,FWD,418581,421606,3025,MU-164;MU-165,418645,brnQ;proY,brnQ,418815,170
TU-0277,FWD,418581,421606,3025,MU-164;MU-165,418776,brnQ;proY,brnQ,418815,39
TU-0278,FWD,420206,421606,1400,MU-165,420146,proY,proY,420210,64
TU-0279,FWD,421806,423656,1850,MU-166,421719,malZ,malZ,421739,20
TU-0280,FWD,424231,426056,1825,MU-167,424209,queA;tgt,queA,424235,26
TU-0281,FWD,426081,426481,400,MU-168,425886,NT,,,
TU-0282,FWD,426081,426481,400,MU-168,425978,NT,,,
TU-0283,FWD,426081,426481,400,MU-168,426063,NT,,,
TU-0284,FWD,426081,426481,400,MU-168,426165,NT,,,
TU-0285,FWD,426531,426831,300,MU-169,426428,yajC;secD;secF,yajC,426511,83
TU-0286,FWD,426531,426831,300,MU-169,426439,yajC;secD;secF,yajC,426511,72
TU-0287,FWD,426531,426831,300,MU-169,426472,yajC;secD;secF,yajC,426511,39
TU-0288,FWD,426859,429709,2850,MU-170,426798,secD;secF,secD,426871,73
TU-0289,FWD,426859,429709,2850,MU-170,426873,secD;secF,secD,426871,-2
TU-0290,FWD,426859,429709,2850,MU-170,426882,secD;secF,secD,426871,-11
TU-0291,FWD,426859,429709,2850,MU-170,426887,secD;secF,secD,426871,-16
TU-0292,FWD,429809,430284,475,MU-171,429809,yajD,yajD,429829,20
TU-0293,FWD,432212,436337,4125,MU-172;MU-173;MU-174,432199,nrdR;ribD;ribE;nusB;thiL;pgpA,nrdR,432226,27
TU-0294,FWD,433737,436337,2600,MU-173;MU-174,433735,ribE;nusB;thiL;pgpA,ribE,433871,136
TU-0295,FWD,433737,436337,2600,MU-173;MU-174,433817,ribE;nusB;thiL;pgpA,ribE,433871,54
TU-0296,FWD,433737,436337,2600,MU-173;MU-174,433820,ribE;nusB;thiL;pgpA,ribE,433871,51
TU-0297,FWD,433737,436337,2600,MU-173;MU-174,433828,ribE;nusB;thiL;pgpA,ribE,433871,43
TU-0298,FWD,435737,436337,600,MU-174,435808,pgpA,pgpA,435813,5
TU-0299,FWD,437412,437687,275,MU-175,437492,NT,,,
TU-0300,FWD,440712,442212,1500,MU-176,440693,thiI,thiI,440773,80
TU-0301,FWD,443812,444487,675,MU-177,443824,yajQ,yajQ,443907,83
TU-0302,FWD,443812,444487,675,MU-177,443852,yajQ,yajQ,443907,55
TU-0303,FWD,443812,444487,675,MU-177,443861,yajQ,yajQ,443907,46
TU-0304,FWD,443812,444487,675,MU-177,443882,yajQ,yajQ,443907,25
TU-0305,FWD,443812,444487,675,MU-177,443888,yajQ,yajQ,443907,19
TU-0306,FWD,453587,454037,450,MU-178,453575,bolA,bolA,453696,121
TU-0307,FWD,453587,454037,450,MU-178,453607,bolA,bolA,453696,89
TU-0308,FWD,453587,454037,450,MU-178,453649,bolA,bolA,453696,47
