Reference genome,ChIP-exo Start,ChIP-exo End,S/N ratio,tu_id,tu_name
NC_010468.1,3860821,3822782,2.629952405,ECK125203405,panD
NC_010468.1,3888882,3822782,2.629952405,ECK125203405,panD
NC_010468.1,3929046,3830763,2.252765629,ECK125203405,panD
NC_010468.1,4037315,3832337,35.04296373,ECK125203405,panD
NC_010468.1,4094838,3853087,2.23585027,ECK125203405,panD
NC_010468.1,4116541,3860833,1.583322614,ECK125158014,leuL
NC_010468.1,4125446,3888894,4.525019295,ECK125158014,leuL
NC_010468.1,4151487,3929058,1.7290648309999999,ECK120008975,treR
NC_010468.1,4245860,4037327,296.0437355,ECK120008975,treR
NC_010468.1,4264545,4037327,296.0437355,ECK120008975,treR
NC_010468.1,4265518,4094850,1.402688449,ECK120008975,treR
NC_010468.1,4350207,4116553,1.866220736,ECK120009233,melR
NC_010468.1,4370398,4125458,2.4229482890000003,ECK120009233,melR
NC_010468.1,4374691,4151499,2.0884358119999997,ECK120009233,melR
NC_010468.1,4516759,4245872,4.167674299,ECK125135011,plsB
NC_010468.1,4525448,4264557,3.50337664,ECK125135011,plsB
NC_010468.1,4534583,4265530,2.3690185230000003,ECK125135011,plsB
NC_010468.1,4553860,4350219,4.012316697,ECK125135011,plsB
NC_010468.1,4554441,4370410,2.646932081,ECK125135011,plsB
NC_010468.1,4555235,4374703,2.221057371,ECK125135011,plsB
NC_010468.1,4559642,4516771,2.5608438380000003,ECK120009256,rhaSR
NC_010468.1,4569575,4525460,1.687355287,ECK120009256,rhaSR
NC_010468.1,4575527,4534595,45.46018781,ECK120009256,rhaSR
NC_010468.1,4614306,4553872,2.215526113,ECK125158025,tatABC
